fuel,perc,cod_date,regionid
solar,0.0,COD2023110617,1.0
wind,38.6,COD2023110617,1.0
biomass,0.9,COD2023110618,1.0
coal,0.0,COD2023110618,1.0
imports,1.4,COD2023110618,1.0
gas,0.8,COD2023110618,1.0
nuclear,11.4,COD2023110618,1.0
other,0.0,COD2023110618,1.0
hydro,37.2,COD2023110618,1.0
solar,0.0,COD2023110618,1.0
wind,48.2,COD2023110618,1.0
biomass,1.1,COD2023110619,1.0
coal,0.0,COD2023110619,1.0
imports,1.9,COD2023110619,1.0
gas,1.0,COD2023110619,1.0
nuclear,14.7,COD2023110619,1.0
other,0.0,COD2023110619,1.0
hydro,26.1,COD2023110619,1.0
solar,0.1,COD2023110619,1.0
wind,54.9,COD2023110619,1.0
biomass,1.3,COD2023110620,1.0
coal,0.0,COD2023110620,1.0
imports,2.2,COD2023110620,1.0
gas,1.1,COD2023110620,1.0
nuclear,14.2,COD2023110620,1.0
other,0.0,COD2023110620,1.0
hydro,28.7,COD2023110620,1.0
solar,0.0,COD2023110620,1.0
wind,52.6,COD2023110620,1.0
biomass,1.1,COD2023110621,1.0
coal,0.0,COD2023110621,1.0
imports,1.6,COD2023110621,1.0
gas,0.8,COD2023110621,1.0
nuclear,13.7,COD2023110621,1.0
other,0.0,COD2023110621,1.0
hydro,28.3,COD2023110621,1.0
solar,0.0,COD2023110621,1.0
wind,54.5,COD2023110621,1.0
biomass,0.7,COD2023110622,1.0
coal,0.0,COD2023110622,1.0
imports,0.9,COD2023110622,1.0
gas,0.8,COD2023110622,1.0
nuclear,14.4,COD2023110622,1.0
other,0.0,COD2023110622,1.0
hydro,26.3,COD2023110622,1.0
solar,0.1,COD2023110622,1.0
wind,56.8,COD2023110622,1.0
biomass,0.9,COD2023110623,1.0
coal,0.0,COD2023110623,1.0
imports,0.7,COD2023110623,1.0
gas,0.8,COD2023110623,1.0
nuclear,13.7,COD2023110623,1.0
other,0.0,COD2023110623,1.0
hydro,23.4,COD2023110623,1.0
solar,0.0,COD2023110623,1.0
wind,60.6,COD2023110623,1.0
biomass,0.9,COD2023110700,1.0
coal,0.0,COD2023110700,1.0
imports,0.3,COD2023110700,1.0
gas,0.8,COD2023110700,1.0
nuclear,10.7,COD2023110700,1.0
other,0.0,COD2023110700,1.0
hydro,24.3,COD2023110700,1.0
solar,0.0,COD2023110700,1.0
wind,63.0,COD2023110700,1.0
biomass,0.6,COD2023110701,1.0
coal,0.0,COD2023110701,1.0
imports,0.0,COD2023110701,1.0
gas,0.6,COD2023110701,1.0
nuclear,10.3,COD2023110701,1.0
other,0.0,COD2023110701,1.0
hydro,23.7,COD2023110701,1.0
solar,0.0,COD2023110701,1.0
wind,64.8,COD2023110701,1.0
biomass,0.6,COD2023110702,1.0
coal,0.0,COD2023110702,1.0
imports,0.0,COD2023110702,1.0
gas,0.4,COD2023110702,1.0
nuclear,4.3,COD2023110702,1.0
other,0.0,COD2023110702,1.0
hydro,23.1,COD2023110702,1.0
solar,0.0,COD2023110702,1.0
wind,71.6,COD2023110702,1.0
biomass,0.3,COD2023110703,1.0
coal,0.0,COD2023110703,1.0
imports,0.0,COD2023110703,1.0
gas,0.2,COD2023110703,1.0
nuclear,1.0,COD2023110703,1.0
other,0.0,COD2023110703,1.0
hydro,21.8,COD2023110703,1.0
solar,0.0,COD2023110703,1.0
wind,76.7,COD2023110703,1.0
biomass,0.0,COD2023110704,1.0
coal,0.0,COD2023110704,1.0
imports,0.0,COD2023110704,1.0
gas,0.0,COD2023110704,1.0
nuclear,0.0,COD2023110704,1.0
other,0.0,COD2023110704,1.0
hydro,20.5,COD2023110704,1.0
solar,0.0,COD2023110704,1.0
wind,79.5,COD2023110704,1.0
biomass,0.0,COD2023110705,1.0
coal,0.0,COD2023110705,1.0
imports,0.0,COD2023110705,1.0
gas,0.0,COD2023110705,1.0
nuclear,0.0,COD2023110705,1.0
other,0.0,COD2023110705,1.0
hydro,29.1,COD2023110705,1.0
solar,0.0,COD2023110705,1.0
wind,70.9,COD2023110705,1.0
biomass,0.0,COD2023110706,1.0
coal,0.0,COD2023110706,1.0
imports,0.0,COD2023110706,1.0
gas,0.0,COD2023110706,1.0
nuclear,0.0,COD2023110706,1.0
other,0.0,COD2023110706,1.0
hydro,39.3,COD2023110706,1.0
solar,0.0,COD2023110706,1.0
wind,60.7,COD2023110706,1.0
biomass,0.0,COD2023110707,1.0
coal,0.0,COD2023110707,1.0
imports,0.0,COD2023110707,1.0
gas,0.0,COD2023110707,1.0
nuclear,0.0,COD2023110707,1.0
other,0.0,COD2023110707,1.0
hydro,44.4,COD2023110707,1.0
solar,0.0,COD2023110707,1.0
wind,55.6,COD2023110707,1.0
